cr,count,ac,str.save.mod,dex.save.mod,con.save.mod,int.save.mod,wis.save.mod,cha.save.mod
0.00,77.00,11.70,-1.53,1.03,0.16,-2.19,0.56,-1.49
0.13,47.00,12.45,-0.38,1.36,0.51,-1.87,0.06,-1.36
0.25,98.00,12.17,0.38,1.16,0.83,-1.92,-0.04,-1.73
0.50,95.00,12.78,0.45,1.12,1.21,-1.62,0.00,-1.53
1.00,110.00,13.47,0.90,1.80,1.40,-0.88,0.58,-0.25
2.00,173.00,13.96,1.68,1.43,1.81,-0.72,0.80,-0.23
3.00,121.00,14.33,2.41,1.74,2.26,-0.55,0.91,-0.04
4.00,83.00,14.47,2.11,1.90,2.70,0.24,1.51,0.96
5.00,111.00,15.06,2.95,2.05,3.37,0.18,1.87,0.70
6.00,55.00,15.33,2.75,1.60,3.22,1.13,2.29,1.15
7.00,50.00,15.78,3.06,2.60,3.56,0.50,2.20,1.48
8.00,54.00,15.30,3.61,2.02,4.22,0.30,2.48,1.19
9.00,45.00,16.40,3.91,2.42,5.47,2.04,3.87,3.04
10.00,37.00,16.51,3.84,2.51,5.78,2.73,4.62,2.59
11.00,30.00,16.63,4.80,3.13,6.03,1.73,4.60,3.30
12.00,20.00,16.80,4.85,2.45,5.25,2.40,4.90,3.45
13.00,26.00,16.65,4.92,2.85,7.00,4.46,5.27,5.73
14.00,18.00,17.17,5.06,3.28,7.94,2.89,6.06,4.94
15.00,15.00,17.87,5.60,4.53,6.60,2.27,5.33,5.87
16.00,18.00,18.44,6.56,4.67,7.22,1.50,6.67,5.22
17.00,12.00,18.67,5.83,5.58,8.42,5.50,8.58,7.83
18.00,10.00,18.50,5.00,4.10,9.80,4.60,8.00,7.70
19.00,6.00,18.50,7.50,5.67,9.00,4.83,7.00,9.00
20.00,7.00,18.14,7.86,5.00,12.43,0.86,7.57,7.29
21.00,11.00,19.18,7.00,7.18,11.64,6.73,11.27,8.27
22.00,8.00,19.38,6.00,4.88,11.12,7.75,10.75,9.00
23.00,15.00,19.87,8.67,6.80,12.33,6.00,10.20,8.07
24.00,6.00,20.83,9.67,7.00,13.00,5.50,11.50,11.67
25.00,6.00,20.00,11.00,6.00,13.67,7.50,11.00,8.33
26.00,5.00,21.40,8.80,5.80,13.20,11.60,11.80,9.40
28.00,2.00,23.50,10.50,4.50,14.00,11.50,14.00,15.50
30.00,2.00,25.00,14.50,4.50,10.00,6.50,13.00,9.00
